label,rank,feature,weight
106,2,南沙 公寓,0.27015019123866496
106,3,南沙,0.27015019123866496
106,4,公寓,0.27015019123866496
106,5,是否 值得,0.27015019123866496
106,6,值得 投资,0.27015019123866496
106,7,值得,0.27015019123866496
106,8,投资,0.27015019123866496
106,9,是否,0.27015019123866496
106,10,出台 央行,0.19229522414572578
106,11,央行,0.19229522414572578
106,12,徐忠,0.19229522414572578
106,13,局局长 徐忠,0.19229522414572578
106,14,局局长,0.19229522414572578
106,15,房地产 迟迟,0.19229522414572578
107,1,一个月,0.28644067916681376
107,2,一辆车,0.26343814386923925
107,3,一辆车 寿命,0.26343814386923925
107,4,多久,0.26343814386923925
107,5,到底 多长,0.26343814386923925
107,6,多长,0.26343814386923925
107,7,多长 多久,0.26343814386923925
107,8,到底,0.26343814386923925
107,9,寿命,0.26343814386923925
107,10,寿命 到底,0.26343814386923925
107,11,济南,0.24073853860869507
107,12,堵车 是因为,0.24073853860869507
107,13,道路,0.24073853860869507
107,14,规划 不好,0.24073853860869507
107,15,济南 堵车,0.24073853860869507
108,1,学生,0.39986757286746516
108,2,笔记本电脑,0.3184238054157566
108,3,学生 什么,0.3184238054157566
108,4,什么 笔记本电脑,0.3184238054157566
108,5,看待,0.24897517080070095
108,6,专转本,0.2425020122045429
108,7,新风 吹进,0.22460745246337568
108,8,新风,0.22460745246337568
108,9,文明 新风,0.22460745246337568
108,10,千家万户,0.22460745246337568
108,11,吹进,0.22460745246337568
108,12,吹进 千家万户,0.22460745246337568
108,13,肥乡 文明,0.22460745246337568
108,14,肥乡,0.22460745246337568
108,15,驾驶证 考试,0.20946680062247403
109,1,区块,0.31379015598788856
109,2,教育,0.284088606501423
109,3,准备,0.253479410684976
109,4,准备 商机,0.253479410684976
109,5,创业,0.253479410684976
109,6,商机,0.253479410684976
109,7,创业 准备,0.253479410684976
109,8,全球,0.23530635878984882
109,9,switch,0.22151496986941369
109,10,pos 适合,0.214014240888389
109,11,适合 养卡,0.214014240888389
109,12,适合,0.214014240888389
109,13,pos,0.214014240888389
109,14,哪种,0.214014240888389
109,15,养卡,0.214014240888389
110,1,关键时刻 发挥,0.23447909675328305
110,2,匕首,0.23447909675328305
110,3,军用 匕首,0.23447909675328305
110,4,关键时刻,0.23447909675328305
110,5,匕首 关键时刻,0.23447909675328305
110,6,军用,0.23447909675328305
110,7,哪些 作用,0.23447909675328305
110,8,发挥,0.23447909675328305
110,9,发挥 哪些,0.23447909675328305
110,10,联合国,0.2301267999444376
110,11,为何 联合国,0.2301267999444376
110,12,维和部队 不去,0.2301267999444376
110,13,不去,0.2301267999444376
110,14,联合国 维和部队,0.2301267999444376
110,15,维和部队,0.2301267999444376
112,1,地震,0.4136508372146397
112,2,世界杯 得花,0.3329150725068507
112,3,得花,0.3329150725068507
112,4,得花 多少,0.3329150725068507
112,5,世界杯,0.3329150725068507
112,6,俄罗斯 世界杯,0.3329150725068507
112,7,多少,0.2875729301185305
112,8,俄罗斯,0.28100710350278973
112,9,关东 特大,0.27152224765532157
112,10,日本,0.27152224765532157
112,11,日本 关东,0.27152224765532157
112,12,探秘 日本,0.27152224765532157
112,13,探秘,0.27152224765532157
112,14,特大,0.27152224765532157
112,15,特大 地震,0.27152224765532157
113,1,泰国 什么,0.4697400130859769
113,2,泰国,0.4697400130859769
113,3,阻止,0.2149261904126443
113,4,阻止 基拉,0.2149261904126443
113,5,韦厄,0.2149261904126443
113,6,如何 阻止,0.2149261904126443
113,7,熔岩,0.2149261904126443
113,8,活火山 熔岩,0.2149261904126443
113,9,活火山,0.2149261904126443
113,10,基拉,0.2149261904126443
113,11,基拉 韦厄,0.2149261904126443
113,12,韦厄 活火山,0.2149261904126443
113,13,去泰国买,0.19476943385377074
113,14,国买什,0.19476943385377074
113,15,国买,0.19476943385377074
115,1,产城,0.24829811609605096
115,2,产城 融合,0.24829811609605096
115,3,科技 创新,0.24829811609605096
115,4,引领 新城区,0.24829811609605096
115,5,引领,0.24829811609605096
115,6,新城区,0.24829811609605096
115,7,新城区 建设,0.24829811609605096
115,8,融合 科技,0.24829811609605096
115,9,创新 引领,0.24829811609605096
115,10,加快 产城,0.24829811609605096
115,11,加快,0.24829811609605096
115,12,科技,0.21330243944031482
115,13,创新,0.21321424320600474
115,14,融合,0.21107762876957303
115,15,建设,0.2066719426701067
116,1,这个,0.31199162293042215
116,2,重做,0.28883432211425036
116,3,加强,0.2690967717168616
116,4,队友,0.2350329873145735
116,5,几个 头颅,0.1972220788202894
116,6,头颅,0.1972220788202894
116,7,世界 问答题,0.1972220788202894
116,8,答对,0.1972220788202894
116,9,问答题 几个,0.1972220788202894
116,10,答对 大神,0.1972220788202894
116,11,作用 答对,0.1972220788202894
116,12,世界,0.1972220788202894
116,13,什么 作用,0.1972220788202894
116,14,问答题,0.1972220788202894
116,15,大神,0.1972220788202894
