text,keywords
中国传媒大学：平昌冬奥会闭幕式“北京八分钟”主创交流会举行,举行 / 交流会 / 主创 / 八分钟 / 闭幕式 / 冬奥会 / 平昌 / 传媒大学
哪种POS机适合养卡？,养卡 / 适合 / pos / 哪种
《复仇者联盟3》中奇异博士为什么不用时间宝石跟灭霸谈判？,谈判 / 灭霸 / 宝石 / 时间 / 不用 / 博士 / 奇异 / 联盟
张鹤伦被女粉丝拿水枪对射：这个话筒5千多亿，赔钱,赔钱 / 多亿 / 话筒 / 对射 / 粉丝 / 水枪 / 张鹤伦 / 这个
驾驶证考试预约是按什么规则进行排序的？,排序 / 规则 / 预约 / 驾驶证 / 考试 / 什么
为创业的你准备的（2018年新商机）,商机 / 准备 / 创业
都说北京叫帝都，上海叫魔都，那深圳叫什么？,深圳 / 上海 / 帝都 / 北京 / 什么
阿里巴巴区块链专利排名全球第一，阿里都有哪些区块链应用？,区块 / 应用 / 阿里 / 排名 / 第一 / 阿里巴巴 / 专利 / 全球
揭秘您身边十大类30种轻松赚钱被动收入的生意机会,机会 / 生意 / 收入 / 被动 / 赚钱 / 轻松 / 十大类 / 身边
以色列总理将出席俄罗斯阅兵式 5月9日会晤普京,普京 / 会晤 / 阅兵式 / 出席 / 总理 / 以色列 / 俄罗斯
省“双创计划”项目申报工作启动,启动 / 工作 / 申报 / 项目 / 计划 / 双创
军用匕首在关键时刻能发挥哪些作用？,发挥 / 关键时刻 / 军用 / 匕首 / 作用 / 哪些
拥抱编辑3.0时代！内容升级为产品海内外媒体如何规划下个十年？,十年 / 下个 / 海内外 / 产品 / 拥抱 / 升级 / 时代 / 编辑
银行“恼羞成怒”：在微信支付宝上借款两次，不给贷款,贷款 / 两次 / 借款 / 支付宝 / 微信 / 恼羞成怒 / 银行
2018年教育科技技术新主题——AR+教育,教育 / ar / 主题 / 技术 / 科技
航母受到多少攻击才会被击沉？中国的东风家族让你刮目相看,刮目相看 / 家族 / 东风 / 击沉 / 攻击 / 受到 / 航母 / 多少
慕容云海刁难楚雨荨，买矿泉水一下子买500块钱的，直接被累死,累死 / 直接 / 块钱 / 一下子 / 矿泉水 / 楚雨 / 刁难 / 云海
非洲兄弟拿AK技巧，不靠技术全靠信仰,信仰 / 全靠 / 不靠 / 技巧 / ak / 兄弟 / 非洲 / 技术
PS4比SWITCH销量高，而且游戏画面好，为什么还有人买SWITCH？,switch / 人买 / 还有 / 而且 / 画面 / 销量 / ps4 / 游戏
《我的世界》问答题：这几个头颅都有什么作用呢？答对的都是大神,大神 / 答对 / 头颅 / 问答题 / 世界 / 作用 / 几个 / 什么
在中国古代，珍珠是从什么时期开始作为首饰使用的？,使用 / 首饰 / 作为 / 时期 / 是从 / 珍珠 / 开始 / 古代
少女患怪病，一激动就血流不止，只能靠药物止血！,止血 / 药物 / 只能靠 / 血流 / 激动 / 怪病 / 少女 / 不止
地球这是怎么了？美国夏威夷群岛突发6.9级地震，游客紧急疏散！,疏散 / 紧急 / 游客 / 突发 / 群岛 / 夏威夷 / 美国 / 地球
海航资本助力海南自贸区建设,自贸区 / 海南 / 助力 / 资本 / 海航 / 建设
为何联合国维和部队不去打击ISIS？,isis / 打击 / 不去 / 维和部队 / 联合国 / 为何
王者荣耀：李白和韩信还没加强这个人民币战士却先加强了，悲哀！,加强 / 悲哀 / 战士 / 人民币 / 韩信 / 李白 / 荣耀 / 王者
军事才能“平庸”的华盛顿，为何能打赢独立战争（一）？,独立战争 / 打赢 / 华盛顿 / 平庸 / 才能 / 军事 / 为何
济南堵车是因为道路规划不好吗？,不好 / 道路 / 是因为 / 堵车 / 济南 / 规划
关于人工智能方面的研究生专业有哪些？,专业 / 研究生 / 方面 / 人工智能 / 关于 / 哪些
2018年南沙公寓是否值得投资,投资 / 值得 / 是否 / 公寓 / 南沙
《泡沫之夏》22点独播！秦俊杰霸气狂撩张雪迎：你是我的！,张雪迎 / 霸气 / 俊杰 / 独播 / 之夏 / 泡沫
西方死神入侵天朝，结果被阎王偷走衣服，这下尴尬了,尴尬 / 这下 / 衣服 / 偷走 / 阎王 / 结果 / 天朝 / 入侵
